gvkeyFR,gvkey,year1,yearN
001917,001917,1967,1976
001919,001919,1957,2020
001920,001920,1950,2018
001921,001921,1959,1985
001922,015195,1985,1995
001923,110685,1996,2017
001923,005492,2018,2020
001925,001925,1963,1977
001926,001926,1973,2020
001930,001930,1977,1992
001932,001932,1975,2020
001935,001935,1966,1983
001939,001939,1982,1997
001940,001940,1981,2000
001941,001941,1978,1987
001943,001943,1965,2002
001944,001945,1981,2005
001945,001945,1981,2005
001947,001947,1973,1979
001951,001951,1980,2014
001955,001955,1971,1984
001965,185229,2008,2020
001966,001966,1974,1991
001968,001968,1963,2020
001969,001969,1974,2004
001970,001970,1961,1986
001972,001972,1971,1982
001974,001974,1968,2012
001976,032106,2014,2020
001979,001979,1974,2020
001981,001981,1975,2009
001988,001988,1972,2020
001989,001989,1981,1998
001992,001992,1972,2002
001993,001993,1977,1986
001994,001994,1973,1979
001995,008539,1951,2020
001996,001996,1960,1975
001998,002968,1958,2020
002006,002006,1979,2010
002008,002008,1967,2006
002012,002012,1960,1983
002013,002013,1967,1998
002019,002019,1969,2020
002024,007647,1958,2020
002028,002028,1981,2001
002029,002029,1958,1998
002034,002034,1971,2005
002038,002038,1963,1984
002039,012262,1985,2020
002040,002040,1976,1980
002044,002111,1956,2020
002045,002045,1961,1989
002049,002049,1960,2020
002053,002053,1978,1986
002055,002055,1983,2020
002062,002062,1960,1988
002065,002065,1979,1989
002066,002066,1959,1980
002070,002070,1974,2001
002071,002071,1973,1981
002075,002075,1950,1978
002080,002080,1964,2020
002082,002082,1972,1979
002085,040605,2019,2020
002086,002086,1950,2020
002091,002091,1961,1990
002095,002095,1950,1981
002096,002096,1961,1979
002097,002097,1974,1982
002098,002098,1973,1989
002099,002099,1973,1983
002102,003362,1961,2020
002103,002103,1956,1970
002104,002104,1964,1966
002110,024363,1988,2010
002111,002111,1956,2020
002112,002112,1977,1985
002114,002114,1950,1979
002116,002116,1970,1987
002122,002122,1973,1985
002128,002128,1984,2010
002129,003613,1960,1980
002129,003497,1981,1992
002129,028940,1993,2020
002130,002130,1950,2001
002135,060893,1994,2008
002136,002136,1984,2020
002137,002137,1960,2020
002139,002139,1978,1982
002140,002140,1977,1986
002141,002141,1982,2005
002146,009899,1984,2020
002150,002150,1980,2012
002154,002154,1960,2018
002156,002156,1983,1986
002157,001300,1950,2007
002159,005735,1950,2016
002162,002162,1960,2002
002169,031673,1993,2020
002171,002171,1962,1977
002173,002173,1961,1988
002174,002174,1971,1991
002176,002176,1959,2020
002178,002178,1973,1978
002179,002179,1962,1981
002180,002180,1974,1986
002181,002181,1968,1977
002183,002183,1979,1998
002186,002186,1974,1996
002189,002189,1950,2002
002190,002190,1964,1997
002193,002193,1965,2004
002194,002194,1974,1990
002196,014550,1987,1997
002197,002197,1971,1994
002200,002200,1979,1987
002203,002203,1962,1979
002207,002207,1964,1989
002209,002209,1977,1990
002214,002214,1980,1998
002215,002215,1964,2000
002216,002216,1960,1983
002218,002218,1965,1975
002219,002219,1976,1990
002220,002220,1974,2020
002221,002221,1979,1988
002222,002222,1983,2012
002224,002224,1979,1998
002225,002225,1983,1995
002226,002226,1982,2002
002230,002230,1981,2014
002232,002232,1973,1979
002236,002236,1983,2010
002237,018738,2012,2020
002239,002239,1963,1997
002240,002240,1982,2020
002241,002241,1977,1990
002243,002243,1977,1983
002245,002245,1980,1985
002248,002248,1980,1985
002249,002249,1983,1998
002250,002250,1983,1999
002251,002251,1983,2009
002252,013623,1986,2020
002253,002253,1975,1991
002255,002255,1950,2009
002259,002259,1957,2020
002264,002264,1967,2008
002265,002265,1960,1997
002267,002267,1971,2000
002268,002268,1966,1977
002269,002269,1962,2020
002270,002270,1978,2020
002271,002271,1971,2015
002272,011060,1960,2020
002278,002278,1960,1979
002283,002283,1950,1995
002284,002284,1970,1979
002285,002285,1950,2020
002287,002287,1974,1995
002289,002289,1968,1991
002290,163023,2004,2009
002290,016486,2010,2011
002290,014624,2012,2020
002294,002294,1963,1996
002295,126721,1998,2020
002298,014078,1981,2020
002299,002299,1981,2008
002300,002300,1968,1982
002301,002301,1969,1980
002302,002302,1976,2000
002306,002306,1950,1977
002308,002308,1982,1998
002309,002309,1973,1999
002311,002311,1963,1975
002316,002316,1950,2020
002322,002322,1950,1999
002324,002324,1973,1982
002325,002325,1982,1984
002327,002327,1973,1992
002328,002328,1951,2011
002330,002330,1975,1980
002331,002331,1960,1971
002333,002333,1960,1977
002337,002337,1983,2020
002338,001988,1972,2020
002341,002341,1966,1971
002343,002343,1973,1998
002345,002345,1967,2009
002346,002346,1966,2009
002357,002357,1968,1997
002362,002362,1974,1994
002367,002367,1950,1982
002369,002369,1978,2020
002370,002370,1971,1981
002375,002375,1962,1995
002376,002376,1965,1995
002378,002378,1977,1987
002383,002383,1967,1970
002389,002389,1960,1972
002390,002390,1965,2020
002393,002393,1950,2019
002398,013757,1983,1988
002400,002400,1960,1982
002401,002401,1972,1983
002402,002402,1981,2010
002403,002403,1950,2020
002406,002406,1963,2015
002408,002408,1960,2020
002410,002410,1950,2020
002411,002411,1983,2019
002418,002418,1959,1987
002424,006799,1951,2006
002425,002425,1959,1980
002435,002435,1950,2020
002436,002436,1950,2020
002438,002438,1964,1977
002439,002439,1968,1998
002444,002444,1950,2020
002446,002446,1974,1982
002448,002448,1950,2020
002449,017616,1991,2020
002451,002451,1965,1979
002452,002452,1974,1986
002455,002455,1950,1976
002457,002457,1959,1989
002459,002459,1959,1980
002461,002461,1980,1999
002469,002469,1975,2003
002471,002471,1966,1987
002473,001300,1950,2020
002475,002475,1974,1989
002479,002479,1962,1981
002482,002482,1969,2007
002485,002485,2011,2018
002489,002489,1950,2002
002490,002176,1959,2020
002491,002491,1960,1987
002495,002495,1960,1977
002497,002497,1967,2020
002498,002498,1982,1999
002504,002504,1950,2020
002506,002506,1979,1987
002507,002507,1974,2001
002508,002508,1984,2002
002509,002509,1960,1975
002516,002516,1978,1987
002517,002517,1960,1985
002519,002519,1962,2020
002522,002522,1959,1969
002523,002523,1980,1984
002526,002526,1960,2020
002527,064549,1996,2017
002529,002529,1950,1994
002531,002531,1960,1982
002532,002532,1972,1978
002536,002536,1983,2020
002537,002537,1980,2007
002540,002540,1980,1994
002541,002541,1974,1991
002542,002542,1970,1984
002544,002544,1973,1993
