gvkey_primary,gvkey_secondary,year,source,type
007875,001638,1987,General Research,Merger or Acquisition
018025,001638,2012,General Research,Merger or Acquisition
001638,001638,2004,General Research,Merger or Acquisition
008852,001643,1986,SDC Platinum,Merger or Acquisition
241637,001663,2008,General Research,Merger or Acquisition
006104,001664,1987,SDC Platinum,Merger or Acquisition
027980,001677,2007,General Research,Merger or Acquisition
005606,001692,1989,General Research,Merger or Acquisition
008488,001693,1993,Clean Name Duplicates,Merger or Acquisition
007648,001701,1980,General Research,Merger or Acquisition
175689,001762,2006,ABS,Relisting
185323,001797,2010,CRSP/Compustat,Merger or Acquisition
003243,001831,2000,General Research,Subsidiary Listing
004839,001831,1989,SDC Platinum,Merger or Acquisition
014437,001843,1951,General Research,Subsidiary Listing
002410,001848,1999,General Research,Merger or Acquisition
009191,001896,1995,Subsidiary Data,Merger or Acquisition
010519,001908,1984,General Research,Merger or Acquisition
015195,001922,1985,Clean Name Duplicates,Relisting
110685,001923,1999,Subsidiary Data,Merger or Acquisition
025438,001936,1987,General Research,Relisting
001945,001944,1981,Clean Name Duplicates,Relisting
002410,001946,1960,General Research,Subsidiary Listing
185229,001965,2010,Clean Name Duplicates,Relisting
032106,001976,2017,CRSP/Compustat,Relisting
008539,001995,2012,General Research,Merger or Acquisition
002968,001998,2004,General Research,Merger or Acquisition
007647,002024,1998,General Research,Merger or Acquisition
012262,002039,1986,SDC Platinum,Merger or Acquisition
002111,002044,2017,General Research,Merger or Acquisition
040605,002085,2019,Clean Name Duplicates,Relisting
003362,002102,1991,General Research,Merger or Acquisition
024363,002110,1988,ABS,Relisting
028940,002129,1993,Clean Name Duplicates,Subsidiary Spin-Off
003613,002129,1980,General Research,Merger or Acquisition
060893,002135,1995,ABS,Relisting
004961,002142,1977,General Research,Subsidiary Listing
009899,002146,2006,6-character CUSIP,Subsidiary Listing
002157,002157,2008,General Research,Merger or Acquisition
001300,002157,1983,General Research,Merger or Acquisition
005735,002159,1998,Subsidiary Data,Merger or Acquisition
031673,002169,2001,General Research,Merger or Acquisition
014550,002196,1987,Clean Name Duplicates,Relisting
018738,002237,2013,CRSP/Compustat,Relisting
013623,002252,1995,Subsidiary Data,Merger or Acquisition
011060,002272,1986,General Research,Merger or Acquisition
163023,002290,2004,General Research,Relisting
014624,002290,2012,Subsidiary Data,Merger or Acquisition
126721,002295,2014,SDC Platinum,Merger or Acquisition
002298,002297,1968,General Research,Relisting
014078,002298,1981,General Research,Relisting
